172.64.42.78:443#0057 新加坡SIC
198.41.195.139:443#0039 美国SJC
198.41.196.7:443#0040 美国SJC
172.64.72.111:443#0041 美国SJC
172.64.88.192:443#0081 美国SJC
198.41.198.229:443#0083 美国SJC
198.41.201.85:443#0054 美国SJC
172.64.84.70:443#0034 美国SJC
198.41.199.40:443#0043 美国SJC
172.64.66.165:443#0027 美国SJC
[2606:4700:e::9293:283e]:443#0042V6 美国SJC
[2606:4700:e::c7:e366:e30e]:443#0052V6 美国SJC
[2606:4700:e:0:8e:9939:e534:ea12]:443#0037V6 美国SJC
[2606:4700:e:0:8e:ffca:e428:eeac]:443#0038V6 美国SJC
[2606:4700:e::abea:80a4]:443#0039V6 美国SJC
[2606:4700:e::d21d:cce1:18e1]:443#0040V6 美国SJC
[2606:4700:e::aba7:e35d]:443#0041V6 美国SJC
